"Y" "N"
14 29
92 171
78 153
2 2
175 337
23 42
12 27
10 23
51 105
16 34
19 57
4 5
41 91
22 53
56 121
269 540
120 217
57 115
30 62
6 10
15 39
31 55
15 39
14 25
104 219
17 32
18 31
4 7
2 8
1 2
28 64
51 86
1 3
1 1
18 30
19 28
1 1
0 2
5 12
0 1
1 3
2 2
5 9
5 7
10 22
8 14
2 4
80 160
2 5
66 96
1 5
1 6
6 13
16 27
12 19
12 19
148 341
2 3
3 6
27 44
6 10
8 12
38 66
22 40
100 188
43 84
161 324
0 1
113 241
12 32
44 87
5 11
9 20
27 48
29 53
31 90
5 14
71 150
109 184
28 53
3 5
3 4
95 299
105 252
115 209
5 10
2 4
17 28
63 142
9 17
72 118
36 67
36 66
2 5
0 1
37 67
5 12
19 37
4 9
82 171
42 86
3 19
17 37
85 183
84 160
5 13
62 119
35 71
56 91
89 164
26 49
66 131
7 8
0 2
6 10
28 39
21 39
1 5
8 20
3 4
5 15
13 38
11 13
14 33
172 200
109 212
77 159
62 119
31 59
31 59
40 79
57 139
23 32
11 18
25 41
56 112
6 13
15 36
7 17
1 3
5 6
16 26
23 40
9 27
47 93
29 66
39 54
139 275
40 73
2 7
166 318
26 46
1 6
1 2
16 45
6 12
6 23
30 52
45 92
116 180
29 83
3 5
0 3
5 10
32 69
26 59
3 4
45 102
50 108
118 226
49 108
179 347
89 171
131 266
102 222
93 128
202 380
36 77
13 35
18 41
45 78
8 16
34 79
38 84
42 92
13 29
11 26
29 58
29 61
43 75
4 6
19 32
5 6
0 1
0 4
339 601
657 1266
205 397
20 35
46 120
8 16
25 54
2 8
13 25
94 172
106 186
2 3
6 8
4 7
3 5
78 140
378 766
9 19
27 61
13 28
66 102
4 4
5 23
3 7
33 60
10 12
10 23
2 8
4 6
0 1
3 27
3 3
7 14
25 29
14 26
109 246
80 98
13 35
61 119
116 275
10 56
1 1
7 15
0 2
2 2
1 2
1 2
2 3
5 12
30 67
2 7
62 131
28 54
120 266
51 90
152 255
5 10
155 307
10 24
13 34
255 517
5 10
14 32
17 31
26 51
0 6
2 9
1 9
44 103
74 143
69 146
9 12
13 36
75 190
12 23
7 21
12 19
9 13
205 432
18 51
58 157
2 6
117 242
149 280
45 86
8 30
59 125
0 1
106 192
9 14
17 36
37 76
45 101
23 40
28 46
21 33
94 162
9 19
40 86
0 6
16 29
115 223
7 20
2 7
4 6
166 345
58 130
2 16
113 229
113 229
12 41
29 62
22 48
4 10
94 164
1 7
118 243
9 20
151 376
37 82
9 18
48 84
4 7
51 116
43 94
40 88
9 21
4 6
0 1
5 17
21 47
67 140
68 119
53 100
33 67
6 15
1 4
108 223
5 11
13 24
17 58
2 10
475 864
12 42
25 55
136 246
114 207
81 163
32 67
9 19
52 129
28 80
0 1
24 65
39 70
55 103
45 80
84 172
10 28
11 18
1 1
311 666
26 87
28 56
131 249
8 24
50 96
3 16
24 33
84 117
1 3
27 46
52 89
13 28
19 43
17 33
1 2
11 14
5 6
34 69
1 2
1 2
4 4
8 11
15 21
139 285
293 531
65 123
0 5
43 86
2 3
245 256
3 15
2 3
8 16
3 4
8 19
15 28
27 43
0 1
1 1
93 186
81 176
1 2
0 1
7 9
1 4
25 44
10 18
31 54
38 47
2 5
463 988
119 264
98 196
69 128
4 12
32 52
61 141
10 16
32 63
11 26
58 112
62 111
178 345
84 196
21 47
20 25
17 26
46 88
58 90
28 64
24 46
4 12
44 72
26 36
9 18
25 59
217 329
10 21
1 4
38 75
5 16
12 21
6 12
5 9
0 6
0 3
1 5
1 4
1 4
1 5
27 57
6 9
43 84
18 30
12 24
1 2
3 4
35 56
46 81
55 115
64 145
1 3
5 12
1 3
68 157
37 58
0 1
117 201
117 201
56 124
35 68
32 73
15 23
1 7
601 1110
277 605
64 108
20 32
242 434
546 1076
32 57
133 216
87 167
14 20
9 26
14 42
36 53
9 13
12 30
16 22
35 67
41 92
71 140
64 138
48 80
8 27
18 30
376 815
103 224
189 380
45 126
8 14
83 156
31 72
1 1
16 33
72 157
8 18
13 29
14 35
54 96
174 380
33 69
15 25
88 173
222 404
12 37
11 12
1 3
16 28
51 98
6 13
180 327
357 669
70 141
47 115
10 18
1 1
16 23
25 41
20 33
4 8
65 109
35 66
5 5
44 78
3 3
1 4
20 29
20 33
2 8
87 116
8 9
0 2
3 5
46 56
3 4
2 6
126 244
10 22
47 105
15 21
20 28
1 2
6 7
44 104
51 117
41 72
21 49
27 53
6 10
532 1032
12 32
121 235
54 91
2 6
1 4
74 142
266 488
8 14
11 33
50 89
78 130
59 114
73 158
1 3
4 13
130 269
77 138
6 11
8 8
0 1
6 11
12 26
35 70
5 12
2 2
1 1
25 47
15 27
43 89
16 30
3 3
6 14
2 11
7 11
22 50
3 9
218 438
78 143
60 109
5 6
4 13
2 3
19 47
9 16
1 2
21 40
51 83
47 112
3 5
127 220
11 19
20 49
99 180
32 60
6 10
12 19
13 50
115 226
36 70
295 589
121 231
349 680
57 133
11 17
8 14
85 156
19 31
4 9
6 12
96 178
6 15
81 145
245 363
51 79
170 319
255 471
255 473
58 118
3 4
95 192
2 13
4 10
32 55
40 92
7 12
19 42
29 43
11 20
48 104
56 116
335 544
24 53
47 88
18 26
20 34
27 74
34 75
8 14
5 13
6 11
30 50
2 7
4 9
4 9
3 9
1 2
